APPS NOT IN ANY APP GROUP
Generated: 2026-07-08 01:59
In groups: 30 apps | Not grouped: 210 apps

NAME | TARGET | SOURCE
MKVToolNix 100.0.0 (64-bit) | (winget) | Winget
MongoDB 8.3.4 2008R2Plus SSL (64 bit) | (winget) | Winget
MongoDB Shell | (winget) | Winget
MPF | (winget) | Winget
My Alienware | (winget) | Winget
Nilesoft Shell | C:\Program Files\Nilesoft Shell\shell.exe | Start Menu
Node.js | C:\Program Files\nodejs\node.exe | Start Menu
NVIDIA App | C:\Program Files\NVIDIA Corporation\NVIDIA app\CEF\NVIDIA App.exe | Start Menu
NVIDIA App 11.0.7.247 | (winget) | Winget
NVIDIA Control Panel | (winget) | Winget
NVIDIA FrameView SDK 1.7.12227.37421622 | (winget) | Winget
NVIDIA PhysX System Software 9.23.1019 | (winget) | Winget
O+ Connect | C:\Program Files\O+Connect\O+Connect.exe | Start Menu
OfficePushNotificationsUtility | (winget) | Winget
OneNote | C:\Program Files\Microsoft Office\root\Office16\ONENOTE.EXE | Start Menu
Paint | (winget) | Winget
Password Manager | C:\Program Files\Google\Chrome\Application\chrome_proxy.exe | Start Menu
PC Health Check | C:\Users\nisha\AppData\Local\PCHealthCheck\PCHealthCheck.exe | Start Menu
PC Manager | (winget) | Winget
PDFgear | C:\Program Files\PDFgear\PDFLauncher.exe | Start Menu
PDFgear 2.1.16 | (winget) | Winget
Phone Link | (winget) | Winget
Pieces OS | (winget) | Winget
PowerPoint | C:\Program Files\Microsoft Office\root\Office16\POWERPNT.EXE | Start Menu
PowerShell | (winget) | Winget
PowerShell 7 (x64) | C:\Program Files\PowerShell\7\pwsh.exe | Start Menu
PowerShell 7-x64 | (winget) | Winget
PowerToys (Preview) | C:\Users\nisha\AppData\Local\PowerToys\PowerToys.exe | Start Menu
PowerToys (Preview) x64 | (winget) | Winget
PowerToys.SparseApp | (winget) | Winget
Proton VPN | C:\Program Files\Proton\VPN\ProtonVPN.Launcher.exe | Start Menu
psqlODBC 13.02.0000 | (winget) | Winget
Python 3.13 | (winget) | Winget
Quick Share | (winget) | Winget
QuickLook | (winget) | Winget
RAMMap64 | C:\SystemMaintenance\RAMMap64.exe | Start Menu
RapidRAW | C:\Users\nisha\AppData\Local\RapidRAW\RapidRAW.exe | Start Menu
Razer Axon Official Theme | (winget) | Winget
Realtek Audio Control | (winget) | Winget
Realtek Card Reader | (winget) | Winget
Remote Desktop Connection | C:\WINDOWS\system32\mstsc.exe | Start Menu
Revo Uninstaller 2.7.0 | (winget) | Winget
Riot Client | C:\Riot Games\Riot Client\RiotClientServices.exe | Start Menu
Riot Vanguard | (winget) | Winget
SharpKeys | C:\Users\nisha\AppData\Roaming\Microsoft\Installer\{0B9129DE-4A3E-46D2-9B0A-E9A4A9421B32}\_353648F50ED1D384458BD2.exe | Start Menu
Snipping Tool | (winget) | Winget
Speech Pack - English (United States) | (winget) | Winget
Speech Pack - English (United States) - MTL | (winget) | Winget
Start Experiences App | (winget) | Winget
Sticky Notes (new) | C:\Program Files\Microsoft Office\root\Office16\ONENOTE.EXE | Start Menu
Stitch | C:\Program Files\Google\Chrome\Application\chrome_proxy.exe | Start Menu
Store Experience Host | (winget) | Winget
Support for Alienware m16 R2   Drivers & Downloads   Dell India | C:\Program Files\Google\Chrome\Application\chrome_proxy.exe | Start Menu
Swishy - AI Motion Designer & Animator   Create Stunning Animations | C:\Program Files\Google\Chrome\Application\chrome_proxy.exe | Start Menu
Swishy - AI Motion Designer & Animator | Create Stunning Animations | (winget) | Winget
Task Scheduler | C:\WINDOWS\system32\taskschd.msc | Start Menu
Traosk Utils Queue | (winget) | Winget
Twinkle Tray | C:\Users\nisha\AppData\Local\Programs\twinkle-tray\Twinkle Tray.exe | Start Menu
Twinkle Tray 1.17.2 | (winget) | Winget
uTorrent Web | C:\Users\nisha\AppData\Roaming\uTorrent Web\utweb.exe | Start Menu
VALORANT | C:\Riot Games\Riot Client\RiotClientServices.exe | Start Menu
Ventusky.com | C:\Program Files\Google\Chrome\Application\chrome_proxy.exe | Start Menu
Vercel | C:\Program Files\Google\Chrome\Application\chrome_proxy.exe | Start Menu
Virtual Sound Card 2.2 | (winget) | Winget
Visual Studio Code | C:\Users\nisha\AppData\Local\Programs\Microsoft VS Code\Code.exe | Start Menu
VLC media player | C:\Program Files\VideoLAN\VLC\vlc.exe | Start Menu
VoiceAccess | C:\WINDOWS\system32\voiceaccess.exe | Start Menu
vs_CoreEditorFonts | (winget) | Winget
Widgets Platform Runtime | (winget) | Winget
WinAppRuntime.Main.1.2 | (winget) | Winget
WinAppRuntime.Main.1.5 | (winget) | Winget
WinAppRuntime.Main.1.6 | (winget) | Winget
WinAppRuntime.Main.1.7 | (winget) | Winget
WinAppRuntime.Main.1.8 | (winget) | Winget
WinAppRuntime.Main.2 | (winget) | Winget
WinAppRuntime.Singleton | (winget) | Winget
Windhawk | C:\Program Files\Windhawk\windhawk.exe | Start Menu
Windhawk v1.7.3 | (winget) | Winget
Windows 11 Installation Assistant | (winget) | Winget
Windows Advanced Settings | (winget) | Winget
Windows App Runtime DDLM 8000.675.1142.0-x6 | (winget) | Winget
Windows App Runtime DDLM 8000.675.1142.0-x8 | (winget) | Winget
Windows App Runtime DDLM 8000.770.947.0-x6 | (winget) | Winget
Windows App Runtime DDLM 8000.770.947.0-x8 | (winget) | Winget
Windows Application Compatibility Enhancements | (winget) | Winget
Windows Calculator | (winget) | Winget
Windows Camera | (winget) | Winget
Windows Defender Firewall with Advanced Security | C:\WINDOWS\system32\WF.msc | Start Menu
Windows ML Runtime Intel OpenVINO Execution Provider 1.8 | (winget) | Winget
Windows ML Runtime NVIDIA TensorRT-RTX Execution Provider 1.8 | (winget) | Winget
Windows ML Runtime NVIDIA TensorRT-RTX Execution Provider 2 | (winget) | Winget
Windows Notepad | (winget) | Winget
Windows PC Health Check | (winget) | Winget
Windows PowerShell ISE 5.1 | C:\WINDOWS\system32\WindowsPowerShell\v1.0\PowerShell_ISE.exe | Start Menu
Windows PowerShell ISE 5.1 (x86) | C:\WINDOWS\syswow64\WindowsPowerShell\v1.0\PowerShell_ISE.exe | Start Menu
Windows SDK AddOn | (winget) | Winget
Windows Security | (winget) | Winget
Windows Subsystem for Linux | (winget) | Winget
Windows Subsystem for Linux Update | (winget) | Winget
Windows Terminal | (winget) | Winget
WindowsAppRuntime.1.1 | (winget) | Winget
WindowsAppRuntime.1.2 | (winget) | Winget
WindowsAppRuntime.1.3 | (winget) | Winget
WindowsAppRuntime.1.4 | (winget) | Winget
WindowsAppRuntime.1.5 | (winget) | Winget
WindowsAppRuntime.1.6 | (winget) | Winget
WindowsAppRuntime.1.7 | (winget) | Winget
WindowsAppRuntime.1.8 | (winget) | Winget
WindowsAppRuntime.2 | (winget) | Winget
Windsurf | (winget) | Winget
WinRAR | C:\Program Files\WinRAR\WinRAR.exe | Start Menu
WinRAR 7.22 (64-bit) | (winget) | Winget
Wintoys | (winget) | Winget
Word | C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE | Start Menu
WSL | C:\WINDOWS\Installer\{FC60318A-104F-41CF-A030-1AA3E98DBEFC}\wsl.ico | Start Menu
WSL Settings | C:\WINDOWS\Installer\{FC60318A-104F-41CF-A030-1AA3E98DBEFC}\wsl.ico | Start Menu
XPS Viewer | C:\WINDOWS\system32\xpsrchvw.exe | Start Menu
Zoom Workplace | C:\Users\nisha\AppData\Roaming\Zoom\bin\Zoom.exe | Start Menu
ಕನ್ನಡ ಸ್ಥಳೀಯ ಅನುಭವ ಪ್ಯಾಕ್ | (winget) | Winget
